"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","berlin","2020-13-10",2015,"Brunnenstr. Süd",52.53454,13.40256,"Entire guesthouse","Entire home/apt",3,1,0,"$61.14",5,1125,30,NA,0
"2","berlin","2020-13-10",3176,"Prenzlauer Berg Südwest",52.535,13.41758,"Entire apartment","Entire home/apt",4,1,2,"$90.00",62,1125,18,90,1080
"3","berlin","2020-13-10",3309,"Schöneberg-Nord",52.49885,13.34906,"Private room in apartment","Private room",1,1,1,"$28.57",7,35,0,28.5333333333333,856
"4","berlin","2020-13-10",7071,"Helmholtzplatz",52.54316,13.41509,"Private room in apartment","Private room",2,1,2,"$33.00",1,10,0,33,990
"5","berlin","2020-13-10",9991,"Prenzlauer Berg Südwest",52.53303,13.41605,"Entire apartment","Entire home/apt",7,4,7,"$180.00",6,14,0,180,5400
"6","berlin","2020-13-10",14325,"Prenzlauer Berg Nordwest",52.54785,13.40556,"Entire apartment","Entire home/apt",1,NA,1,"$70.00",90,1125,0,70,2100
"7","berlin","2020-13-10",16644,"nördliche Luisenstadt",52.50479,13.4351,"Entire apartment","Entire home/apt",5,1,3,"$90.00",60,365,0,90,2700
"8","berlin","2020-13-10",17904,"Reuterstraße",52.49434,13.42261,"Entire apartment","Entire home/apt",2,NA,0,"$42.00",5,90,6,46.1666666666667,1108
"9","berlin","2020-13-10",20858,"Prenzlauer Berg Südwest",52.53695,13.40762,"Entire loft","Entire home/apt",4,2,2,"$159.00",3,30,29,159,159
"10","berlin","2020-13-10",21869,"nördliche Luisenstadt",52.50273,13.43462,"Entire apartment","Entire home/apt",4,1,2,"$70.00",60,365,0,70,2100
"11","berlin","2020-13-10",22438,"Brunnenstr. Nord",52.53445,13.38837,"Entire apartment","Entire home/apt",2,2,4,"$65.00",90,365,0,65,1950
"12","berlin","2020-13-10",22677,"Brunnenstr. Süd",52.53435,13.40558,"Entire apartment","Entire home/apt",5,1,4,"$160.00",2,24,30,NA,0
"13","berlin","2020-13-10",23834,"Tempelhofer Vorstadt",52.48971,13.37975,"Entire condominium","Entire home/apt",4,1,3,"$65.00",185,360,0,65,1950
"14","berlin","2020-13-10",24569,"Prenzlauer Berg Südwest",52.53079,13.41808,"Entire apartment","Entire home/apt",4,2,2,"$135.00",4,21,0,135.5,4065
"15","berlin","2020-13-10",25653,"Prenzlauer Berg Süd",52.53026,13.41947,"Entire apartment","Entire home/apt",4,2,2,"$90.00",4,21,0,90,2700
"16","berlin","2020-13-10",28156,"Prenzlauer Berg Nordwest",52.54672,13.40512,"Entire apartment","Entire home/apt",1,NA,1,"$70.00",90,1125,0,70,2100
"17","berlin","2020-13-10",29279,"Helmholtzplatz",52.54179,13.42388,"Entire apartment","Entire home/apt",4,2,3,"$65.00",60,180,0,65,1950
"18","berlin","2020-13-10",30295,"Helmholtzplatz",52.54597,13.42236,"Entire apartment","Entire home/apt",8,2,4,"$113.00",4,365,10,109.5,2190
"19","berlin","2020-13-10",33043,"Moabit Ost",52.52195,13.3559,"Entire apartment","Entire home/apt",4,1,2,"$74.00",3,1125,22,73.75,590
"20","berlin","2020-13-10",35152,"Brunnenstr. Süd",52.53506,13.39699,"Private room in loft","Private room",2,1,1,"$75.00",2,28,0,75,2250
"21","berlin","2020-13-10",36480,"Otto-Suhr-Allee",52.51968,13.30209,"Private room in apartment","Private room",1,1,1,"$35.00",1,21,30,NA,0
"22","berlin","2020-13-10",37004,"Schöneberg-Nord",52.49339,13.36481,"Private room in apartment","Private room",1,1,1,"$33.00",10,60,25,35,175
"23","berlin","2020-13-10",37836,"südliche Luisenstadt",52.49847,13.44013,"Private room in apartment","Private room",3,1,1,"$35.00",2,31,29,39,39
"24","berlin","2020-13-10",38074,"Prenzlauer Berg Süd",52.53713,13.42473,"Entire apartment","Entire home/apt",2,1,1,"$58.00",84,1125,0,77.8666666666667,2336
"25","berlin","2020-13-10",38296,"Schillerpromenade",52.48586,13.42362,"Entire apartment","Entire home/apt",2,1,2,"$80.00",10,30,0,80,2400
"26","berlin","2020-13-10",40600,"Tempelhofer Vorstadt",52.48844,13.4206,"Private room in loft","Private room",2,1,1,"$53.00",3,14,0,53,1590
"27","berlin","2020-13-10",41217,"Prenzlauer Berg Südwest",52.53641,13.41231,"Private room in apartment","Private room",2,1,1,"$43.00",15,15,0,43,1290
"28","berlin","2020-13-10",41306,"Prenzlauer Berg Süd",52.53028,13.42348,"Private room in apartment","Private room",2,1,1,"$49.00",1,7,0,49,1470
"29","berlin","2020-13-10",42742,"südliche Luisenstadt",52.49667,13.44034,"Private room in apartment","Private room",3,1,1,"$37.00",2,31,0,37,1110
"30","berlin","2020-13-10",42809,"Frankfurter Allee Süd FK",52.51099,13.45642,"Entire apartment","Entire home/apt",4,2,2,"$105.00",4,365,25,107,535
"31","berlin","2020-13-10",44083,"Alt  Treptow",52.4904,13.44085,"Private room in apartment","Private room",2,1,1,"$42.00",2,7,3,42,1134
"32","berlin","2020-13-10",44423,"Frankfurter Allee Süd FK",52.50888,13.45636,"Private room in apartment","Private room",2,1,1,"$56.00",82,100,0,56,1680
"33","berlin","2020-13-10",47938,"Prenzlauer Berg Südwest",52.53219,13.41988,"Entire apartment","Entire home/apt",6,2,3,"$169.00",5,23,0,169,5070
